timestamp,machine_id,temperature_c,pressure_bar,vibration_mm_s,energy_kwh,status
2026-08-01 00:00:00,M001,80.1,3.95,0.82,4.67,OK
2026-08-01 04:00:00,M001,86.12,3.58,1.79,3.03,OK
2026-08-01 08:00:00,M001,82.21,3.99,1.26,4.5,OK
2026-08-01 12:00:00,M001,72.98,3.57,1.6,5.22,OK
2026-08-01 16:00:00,M001,108.58,3.72,1.58,4.26,WARNING
2026-08-01 20:00:00,M001,76.3,3.8,1.59,5.59,OK
2026-08-02 00:00:00,M001,78.25,3.37,0.82,3.46,OK
2026-08-02 04:00:00,M001,76.76,4.12,1.26,5.94,OK
2026-08-02 08:00:00,M001,76.95,4.01,0.71,5.57,OK
2026-08-02 12:00:00,M001,79.01,3.66,1.49,5.08,OK
2026-08-02 16:00:00,M001,79.55,3.85,1.94,6.05,OK
2026-08-02 20:00:00,M001,75.45,3.56,7.14,3.4,WARNING
2026-08-03 00:00:00,M001,80.22,4.01,2.2,8.55,OK
2026-08-03 04:00:00,M001,121.51,3.59,1.23,4.32,CRITICAL
2026-08-03 08:00:00,M001,73.47,3.38,1.21,4.99,OK
2026-08-03 12:00:00,M001,76.15,3.5,1.01,4.18,OK
2026-08-03 16:00:00,M001,74.14,4.03,1.55,4.86,OK
2026-08-03 20:00:00,M001,76.37,3.49,0.89,5.26,OK
2026-08-04 00:00:00,M001,80.08,4.12,1.49,4.56,OK
2026-08-04 04:00:00,M001,79.57,3.49,0.85,7.03,OK
2026-08-04 08:00:00,M001,85.96,3.52,1.04,5.82,OK
2026-08-04 12:00:00,M001,80.34,4.15,1.44,5.82,OK
2026-08-04 16:00:00,M001,72.56,3.58,1.27,6.15,OK
2026-08-04 20:00:00,M001,81.09,3.67,1.27,6.25,OK
2026-08-05 00:00:00,M001,75.17,3.74,1.5,5.26,OK
2026-08-05 04:00:00,M001,91.24,5.55,1.06,4.71,OK
2026-08-05 08:00:00,M001,75.0,3.63,0.54,4.86,OK
2026-08-05 12:00:00,M001,76.0,3.58,1.36,2.94,OK
2026-08-05 16:00:00,M001,73.17,4.25,2.56,3.65,OK
2026-08-05 20:00:00,M001,73.72,3.73,1.71,5.57,OK
2026-08-06 00:00:00,M001,77.46,3.73,1.49,4.39,OK
2026-08-06 04:00:00,M001,80.41,3.81,1.4,4.19,OK
2026-08-06 08:00:00,M001,89.12,4.19,1.55,4.14,OK
2026-08-06 12:00:00,M001,84.61,3.86,1.59,2.96,OK
2026-08-06 16:00:00,M001,76.29,3.86,1.42,4.7,OK
2026-08-06 20:00:00,M001,86.01,3.15,1.31,5.26,OK
2026-08-07 00:00:00,M001,80.29,4.23,0.79,6.09,OK
2026-08-07 04:00:00,M001,76.98,4.12,1.63,7.13,OK
2026-08-07 08:00:00,M001,80.84,4.0,1.28,5.13,OK
